operation,latency,throughput,memory_usage,cpu_usage,data_size_bytes
encryption,0.667412 s,0.313126 KB/s,"{'current': '81.415039 KB', 'peak': '89.702148 KB'}",2.200000 %,214
decryption,2.421992 s,0.086286 KB/s,"{'current': '91.861328 KB', 'peak': '94.276367 KB'}",0.000000 %,214
encryption,0.680960 s,0.306897 KB/s,"{'current': '8.996094 KB', 'peak': '22.506836 KB'}",0.000000 %,214
decryption,2.416879 s,0.086469 KB/s,"{'current': '2.913086 KB', 'peak': '13.639648 KB'}",0.600000 %,214
encryption,0.651496 s,0.320776 KB/s,"{'current': '5.347656 KB', 'peak': '18.936523 KB'}",0.000000 %,214
decryption,2.418343 s,0.086416 KB/s,"{'current': '3.030273 KB', 'peak': '13.639648 KB'}",1.900000 %,214
encryption,0.650867 s,0.321086 KB/s,"{'current': '8.798828 KB', 'peak': '18.889648 KB'}",0.000000 %,214
decryption,2.417064 s,0.086462 KB/s,"{'current': '2.596680 KB', 'peak': '13.639648 KB'}",0.000000 %,214
encryption,0.680993 s,0.306882 KB/s,"{'current': '3.933594 KB', 'peak': '18.202148 KB'}",2.100000 %,214
decryption,2.419213 s,0.086385 KB/s,"{'current': '6.541992 KB', 'peak': '13.389648 KB'}",0.000000 %,214
encryption,2.186669 s,0.114329 KB/s,"{'current': '234.016602 KB', 'peak': '241.825195 KB'}",59.400000 %,256
decryption,2.543127 s,0.082176 KB/s,"{'current': '219.364258 KB', 'peak': '221.672852 KB'}",3.600000 %,214
encryption,1.769515 s,0.141282 KB/s,"{'current': '46.183594 KB', 'peak': '58.028320 KB'}",51.700000 %,256
decryption,2.483311 s,0.084156 KB/s,"{'current': '6.694336 KB', 'peak': '17.799805 KB'}",4.900000 %,214
encryption,2.903972 s,0.086089 KB/s,"{'current': '12.242188 KB', 'peak': '27.208008 KB'}",70.900000 %,256
decryption,2.511934 s,0.083197 KB/s,"{'current': '10.978516 KB', 'peak': '19.858398 KB'}",3.000000 %,214
